#Wavelength Flux Error
3600 37.73084641 3.734435547
3600.8 22.08628464 3.563804074
3601.6 14.89402294 4.012161539
3602.4 26.29690361 4.657531044
3603.2 44.62615967 4.830236538
3604 43.94601822 4.882731202
3604.8 37.23303223 4.467924066
3605.6 42.71315002 4.2257892
3606.4 30.52132034 4.246987113
3607.2 43.42022324 4.613152692
3608 43.04108429 4.400904171
3608.8 38.0716629 4.346658271
3609.6 53.87860489 5.006450751
3610.4 36.47050476 4.111619128
3611.2 32.53385925 3.888401461
3612 40.98317719 4.312496944
3612.8 36.93714523 4.547727892
3613.6 42.15113831 4.480888895
3614.4 45.11008072 4.459475637
3615.2 45.96294022 5.029105068
3616 37.70284653 4.498365492
3616.8 40.13998795 4.334098983
3617.6 37.86663055 4.454022849
3618.4 41.53704071 4.745383134
3619.2 31.20001793 4.244262347
3620 33.35052109 4.556132655
3620.8 25.70637703 4.277717263
3621.6 21.33340263 4.088290748
3622.4 19.54932213 4.829820548
3623.2 24.49548149 4.321376896
3624 29.55720329 4.231642481
3624.8 53.03111649 4.600361675
3625.6 52.70955276 4.941934095
3626.4 44.09627914 4.292680433
3627.2 33.85549927 3.965205787
3628 39.13710403 4.282575516
3628.8 37.5236702 4.032094961
3629.6 16.49453735 3.948031582
3630.4 7.228603363 3.528959966
3631.2 10.34985828 3.359545038
3632 11.41944218 3.525345036
3632.8 20.79634666 4.145768365
3633.6 24.16108322 4.191885253
3634.4 34.10855484 4.118943212
3635.2 38.88311386 3.967160927
3636 44.90174484 4.295988906
3636.8 44.50050735 4.24725895
3637.6 45.54810715 4.274996262
3638.4 45.67037964 4.427439677
3639.2 47.59233475 4.139946692
3640 41.91051102 3.897079319
3640.8 37.05291367 4.022348466
3641.6 33.63922882 3.564167162
3642.4 43.07678986 3.921761578
3643.2 42.17724609 4.054692887
3644 44.53144836 3.965170486
3644.8 38.13798523 3.720308982
3645.6 55.69668961 4.135238319
3646.4 42.10335159 4.081059678
3647.2 51.0568428 4.118317661
3648 35.72472763 4.061226386
3648.8 27.91710472 3.994987627
3649.6 20.99962234 3.545024109
3650.4 22.614851 3.67453879
3651.2 26.92422104 3.712007389
3652 17.33719063 3.75507908
3652.8 23.42988968 3.631639895
3653.6 39.46051407 3.642260076
3654.4 40.02968979 3.905105868
3655.2 44.4408493 4.023734468
3656 27.11133575 3.556219509
3656.8 29.85377502 3.756783495
3657.6 36.96422195 3.861509002
3658.4 39.73495483 3.486495378
3659.2 40.02350616 3.384819969
3660 37.20283508 3.540683302
3660.8 20.51854134 3.669814094
3661.6 31.96297455 3.792174636
3662.4 43.64011383 3.83151335
3663.2 46.66091156 3.871688622
3664 42.29785919 3.391056296
3664.8 43.19984055 3.539182819
3665.6 36.20161438 3.202352812
3666.4 48.0449028 3.813273666
3667.2 31.11844254 3.656939886
3668 25.84825897 3.529085382
3668.8 8.74621582 2.836126393
3669.6 1.343767166 2.453934254
3670.4 3.091802359 2.560431484
3671.2 8.713205338 2.855133078
3672 19.02515411 3.191609653
3672.8 30.96124077 3.291857554
3673.6 31.90414047 3.111789853
3674.4 32.67288589 3.048254998
3675.2 35.83336258 3.407128221
3676 24.08364868 2.945600438
3676.8 17.22435951 2.933727307
3677.6 12.01684189 3.001519138
3678.4 17.98824883 3.022151183
3679.2 17.93156433 2.898204515
3680 21.98297501 2.774418659
3680.8 22.49741554 2.558314167
3681.6 9.067512512 2.463903373
3682.4 3.377482176 2.111686562
3683.2 2.969374895 2.109203839
3684 -1.201806545 2.097428449
3684.8 -0.043579351 2.120471852
3685.6 11.06466961 2.380849974
3686.4 32.45235443 2.904559421
3687.2 45.72880936 3.123124986
3688 45.32585907 3.140279242
3688.8 51.31610489 3.583596973
3689.6 44.76398849 3.43751955
3690.4 46.80799484 3.222398895
3691.2 25.96545982 2.919762862
3692 6.242661953 2.538817832
3692.8 11.25032616 2.68621742
3693.6 22.60574341 2.940215039
3694.4 11.78366375 2.502781518
3695.2 4.909844398 2.175606865
3696 2.416751385 1.945298486
3696.8 0.58076483 1.915281192
3697.6 -0.402911961 2.039823121
3698.4 3.735620975 1.997477781
3699.2 -0.634795129 2.176978222
3700 -1.389207959 2.177343366
3700.8 10.19313908 2.567208962
3701.6 10.89454174 2.802805433
3702.4 23.88692474 2.909178224
3703.2 28.37444687 3.016632783
3704 21.54876328 2.995587818
3704.8 25.6538372 2.922819648
3705.6 38.94167328 2.842733626
3706.4 44.52064514 3.065622236
3707.2 22.16588593 2.865310101
3708 8.8089571 2.602267997
3708.8 24.04343796 2.933747154
3709.6 21.67885017 2.74842852
3710.4 9.151722908 2.513841246
3711.2 22.41916656 2.751900614
3712 41.07108688 2.939723823
3712.8 50.54455185 3.207358311
3713.6 47.73104858 2.816764624
3714.4 53.2968483 3.053730325
3715.2 49.07238007 3.119704695
3716 53.92344666 3.17779146
3716.8 60.0675087 3.30192779
3717.6 56.88619614 3.166291545
3718.4 51.35347748 3.341411233
3719.2 59.28688431 3.197204717
3720 52.8415947 3.194973902
3720.8 56.38695908 3.33507061
3721.6 55.92856216 3.189945898
3722.4 51.13426208 2.957947709
3723.2 43.63631821 2.999529573
3724 47.27593613 3.249593773
3724.8 46.76091003 3.116864994
3725.6 48.97167206 3.365128014
3726.4 46.40345001 3.116266418
