# Boroson optical Fe template
# log10(wave)  flux (erg/s/cm2/A)
3.566514  0.00000e+00
3.5666678989  0.00000e+00
3.5668217978  0.00000e+00
3.5669756967  0.00000e+00
3.5671295956  0.00000e+00
3.5672834945  0.00000e+00
3.5674373934  0.00000e+00
3.5675912923  0.00000e+00
3.5677451912  0.00000e+00
3.5678990901  0.00000e+00
3.568052989  0.00000e+00
3.5682068879  0.00000e+00
3.5683607868  0.00000e+00
3.5685146857  0.00000e+00
3.5686685846  0.00000e+00
3.5688224835  0.00000e+00
3.5689763824  0.00000e+00
3.5691302813  0.00000e+00
3.5692841802  0.00000e+00
3.5694380791  0.00000e+00
3.569591978  0.00000e+00
3.5697458769  0.00000e+00
3.5698997758  0.00000e+00
3.5700536747  0.00000e+00
3.5702075736  0.00000e+00
3.5703614725  0.00000e+00
3.5705153714  0.00000e+00
3.5706692703  0.00000e+00
3.5708231692  0.00000e+00
3.5709770681  0.00000e+00
3.571130967  0.00000e+00
3.5712848659  0.00000e+00
3.5714387648  0.00000e+00
3.5715926637  0.00000e+00
3.5717465626  0.00000e+00
3.5719004615  0.00000e+00
3.5720543604  0.00000e+00
3.5722082593  0.00000e+00
3.5723621582  0.00000e+00
3.5725160571  0.00000e+00
3.572669956  0.00000e+00
3.5728238549  0.00000e+00
3.5729777538  0.00000e+00
3.5731316527  0.00000e+00
3.5732855516  0.00000e+00
3.5734394505  0.00000e+00
3.5735933494  0.00000e+00
3.5737472483  0.00000e+00
3.5739011472  0.00000e+00
3.5740550461  0.00000e+00
3.574208945  0.00000e+00
3.5743628439  0.00000e+00
3.5745167428  0.00000e+00
3.5746706417  0.00000e+00
3.5748245406  0.00000e+00
3.5749784395  0.00000e+00
3.5751323384  0.00000e+00
3.5752862373  0.00000e+00
3.5754401362  0.00000e+00
3.5755940351  0.00000e+00
3.575747934  0.00000e+00
3.5759018329  0.00000e+00
3.5760557318  0.00000e+00
3.5762096307  0.00000e+00
3.5763635296  0.00000e+00
3.5765174285  0.00000e+00
3.5766713274  0.00000e+00
3.5768252263  0.00000e+00
3.5769791252  0.00000e+00
3.5771330241  0.00000e+00
3.577286923  0.00000e+00
3.5774408219  0.00000e+00
3.5775947208  0.00000e+00
3.5777486197  0.00000e+00
3.5779025186  0.00000e+00
3.5780564175  0.00000e+00
3.5782103164  0.00000e+00
3.5783642153  0.00000e+00
3.5785181142  0.00000e+00
3.5786720131  0.00000e+00
3.578825912  0.00000e+00
3.5789798109  0.00000e+00
3.5791337098  0.00000e+00
3.5792876087  0.00000e+00
3.5794415076  0.00000e+00
3.5795954065  0.00000e+00
3.5797493054  0.00000e+00
3.5799032043  0.00000e+00
3.5800571032  0.00000e+00
3.5802110021  0.00000e+00
3.580364901  0.00000e+00
3.5805187999  0.00000e+00
3.5806726988  0.00000e+00
3.5808265977  0.00000e+00
3.5809804966  0.00000e+00
3.5811343955  0.00000e+00
3.5812882944  0.00000e+00
3.5814421933  0.00000e+00
3.5815960922  0.00000e+00
3.5817499911  0.00000e+00
3.58190389  0.00000e+00
3.5820577889  0.00000e+00
3.5822116878  0.00000e+00
3.5823655867  0.00000e+00
3.5825194856  0.00000e+00
3.5826733845  0.00000e+00
3.5828272834  0.00000e+00
3.5829811823  0.00000e+00
3.5831350812  0.00000e+00
3.5832889801  0.00000e+00
3.583442879  0.00000e+00
3.5835967779  0.00000e+00
3.5837506768  0.00000e+00
3.5839045757  0.00000e+00
3.5840584746  0.00000e+00
3.5842123735  0.00000e+00
3.5843662724  0.00000e+00
3.5845201713  0.00000e+00
3.5846740702  0.00000e+00
3.5848279691  0.00000e+00
3.584981868  0.00000e+00
3.5851357669  0.00000e+00
3.5852896658  0.00000e+00
3.5854435647  0.00000e+00
3.5855974636  0.00000e+00
3.5857513625  0.00000e+00
3.5859052614  0.00000e+00
3.5860591603  0.00000e+00
3.5862130592  0.00000e+00
3.5863669581  0.00000e+00
3.586520857  0.00000e+00
3.5866747559  0.00000e+00
3.5868286548  0.00000e+00
3.5869825537  0.00000e+00
3.5871364526  0.00000e+00
3.5872903515  0.00000e+00
3.5874442504  0.00000e+00
3.5875981493  0.00000e+00
3.5877520482  0.00000e+00
3.5879059471  0.00000e+00
3.588059846  0.00000e+00
3.5882137449  0.00000e+00
3.5883676438  0.00000e+00
3.5885215427  0.00000e+00
3.5886754416  0.00000e+00
3.5888293405  0.00000e+00
3.5889832394  0.00000e+00
3.5891371383  0.00000e+00
3.5892910372  0.00000e+00
3.5894449361  0.00000e+00
3.589598835  0.00000e+00
3.5897527339  0.00000e+00
3.5899066328  0.00000e+00
3.5900605317  0.00000e+00
3.5902144306  0.00000e+00
3.5903683295  0.00000e+00
3.5905222284  0.00000e+00
3.5906761273  0.00000e+00
3.5908300262  0.00000e+00
3.5909839251  0.00000e+00
3.591137824  0.00000e+00
3.5912917229  0.00000e+00
3.5914456218  0.00000e+00
3.5915995207  0.00000e+00
3.5917534196  0.00000e+00
3.5919073185  0.00000e+00
3.5920612174  0.00000e+00
3.5922151163  0.00000e+00
3.5923690152  0.00000e+00
3.5925229141  0.00000e+00
3.592676813  0.00000e+00
3.5928307119  0.00000e+00
3.5929846108  0.00000e+00
3.5931385097  0.00000e+00
3.5932924086  0.00000e+00
3.5934463075  0.00000e+00
3.5936002064  0.00000e+00
3.5937541053  0.00000e+00
3.5939080042  0.00000e+00
3.5940619031  0.00000e+00
3.594215802  0.00000e+00
3.5943697009  0.00000e+00
3.5945235998  0.00000e+00
3.5946774987  0.00000e+00
3.5948313976  0.00000e+00
3.5949852965  0.00000e+00
3.5951391954  0.00000e+00
3.5952930943  0.00000e+00
3.5954469932  0.00000e+00
3.5956008921  0.00000e+00
3.595754791  0.00000e+00
3.5959086899  0.00000e+00
3.5960625888  0.00000e+00
3.5962164877  0.00000e+00
3.5963703866  0.00000e+00
3.5965242855  0.00000e+00
3.5966781844  0.00000e+00
3.5968320833  0.00000e+00
3.5969859822  0.00000e+00
3.5971398811  0.00000e+00
3.59729378  0.00000e+00
3.5974476789  0.00000e+00
3.5976015778  0.00000e+00
3.5977554767  0.00000e+00
3.5979093756  0.00000e+00
3.5980632745  0.00000e+00
3.5982171734  0.00000e+00
3.5983710723  0.00000e+00
3.5985249712  0.00000e+00
3.5986788701  0.00000e+00
3.598832769  0.00000e+00
3.5989866679  0.00000e+00
3.5991405668  0.00000e+00
3.5992944657  0.00000e+00
3.5994483646  0.00000e+00
3.5996022635  0.00000e+00
3.5997561624  0.00000e+00
3.5999100613  0.00000e+00
3.6000639602  0.00000e+00
3.6002178591  0.00000e+00
3.600371758  0.00000e+00
3.6005256569  0.00000e+00
3.6006795558  0.00000e+00
3.6008334547  0.00000e+00
3.6009873536  0.00000e+00
3.6011412525  0.00000e+00
3.6012951514  0.00000e+00
3.6014490503  0.00000e+00
3.6016029492  0.00000e+00
3.6017568481  0.00000e+00
3.601910747  0.00000e+00
3.6020646459  0.00000e+00
3.6022185448  0.00000e+00
3.6023724437  0.00000e+00
3.6025263426  0.00000e+00
3.6026802415  0.00000e+00
3.6028341404  0.00000e+00
3.6029880393  0.00000e+00
3.6031419382  0.00000e+00
3.6032958371  0.00000e+00
3.603449736  0.00000e+00
3.6036036349  0.00000e+00
3.6037575338  0.00000e+00
3.6039114327  0.00000e+00
3.6040653316  0.00000e+00
3.6042192305  0.00000e+00
3.6043731294  0.00000e+00
3.6045270283  0.00000e+00
3.6046809272  0.00000e+00
3.6048348261  0.00000e+00
3.604988725  0.00000e+00
3.6051426239  0.00000e+00
3.6052965228  0.00000e+00
3.6054504217  0.00000e+00
3.6056043206  0.00000e+00
3.6057582195  0.00000e+00
3.6059121184  0.00000e+00
3.6060660173  0.00000e+00
3.6062199162  0.00000e+00
3.6063738151  0.00000e+00
3.606527714  0.00000e+00
3.6066816129  0.00000e+00
3.6068355118  0.00000e+00
3.6069894107  0.00000e+00
3.6071433096  0.00000e+00
3.6072972085  0.00000e+00
3.6074511074  0.00000e+00
3.6076050063  0.00000e+00
3.6077589052  0.00000e+00
3.6079128041  0.00000e+00
3.608066703  0.00000e+00
3.6082206019  0.00000e+00
3.6083745008  0.00000e+00
3.6085283997  0.00000e+00
3.6086822986  0.00000e+00
3.6088361975  0.00000e+00
3.6089900964  0.00000e+00
3.6091439953  0.00000e+00
3.6092978942  0.00000e+00
3.6094517931  0.00000e+00
3.609605692  0.00000e+00
3.6097595909  0.00000e+00
3.6099134898  0.00000e+00
